jam_id,type,level,severity,line_coordinates,start_location,end_location,speed_kmh,length_meters,delay_seconds,block_alert_id,block_alert_type,block_alert_description,block_alert_update_datetime_utc,block_start_datetime_utc,publish_datetime_utc,update_datetime_utc,country,city,street
249905954,NONE,3,5,"LINESTRING(-7.5994 33.576347, -7.599683 33.576195, -7.600322 33.575849, -7.600728 33.575662, -7.60096 33.575559, -7.601032 33.575526, -7.601987 33.575278)",,,6.94,269,107,,,,,,2025-06-29T19:20:31.804Z,2025-06-29T19:22:44.699Z,MO,Casablanca - الدار البيضاء,Rue des Abassides
249748266,NONE,3,5,"LINESTRING(-7.558449 33.579472, -7.560048 33.579924, -7.560286 33.579991, -7.563652 33.580937, -7.563865 33.580996)",,,10.8,531,125,,,,,,2025-06-29T19:18:14.302Z,2025-06-29T19:22:44.120Z,MO,Casablanca - الدار البيضاء,P3010 - Boulevard Oqba Bnou Nafii
249940014,NONE,4,5,"LINESTRING(-7.517168 33.610299, -7.517106 33.6102, -7.517078 33.610089, -7.517175 33.609873, -7.517242 33.609729, -7.517286 33.609541, -7.516318 33.60934, -7.51647 33.608829)",,,5.22,239,130,,,,,,2025-06-29T19:20:32.548Z,2025-06-29T19:22:45.702Z,MO,Casablanca - الدار البيضاء,
249725486,NONE,2,5,"LINESTRING(-7.507058 33.610198, -7.507542 33.610431, -7.507911 33.610533, -7.508158 33.610564, -7.508435 33.610578, -7.508698 33.610535, -7.50905 33.610461, -7.510739 33.609934, -7.511082 33.609818, -7.511367 33.609699, -7.511719 33.609554, -7.512214 33.609342, -7.512298 33.609305, -7.513371 33.60883, -7.514079 33.608517, -7.514545 33.608315, -7.51537 33.60795, -7.516357 33.607516)",,,13.86,950,136,,,,,,2025-06-29T19:18:13.513Z,2025-06-29T19:22:43.319Z,MO,Casablanca - الدار البيضاء,Boulevard Abou Dar Al Ghifari
249755950,NONE,3,5,"LINESTRING(-7.578758 33.544829, -7.581106 33.543458)",,,5.44,266,142,,,,,,2025-06-29T19:18:17.098Z,2025-06-29T19:22:46.217Z,MO,Casablanca - الدار البيضاء,Boulevard Commandant Driss Al Harti
250135334,NONE,4,5,"LINESTRING(-7.700177 33.571285, -7.700435 33.573538)",,,7.52,251,100,,,,,,2025-06-29T19:22:43.267Z,2025-06-29T19:22:43.267Z,MO,Casablanca - الدار البيضاء,Route de Sidi Abderrahmane
249379346,NONE,2,5,"LINESTRING(-7.554924 33.578341, -7.553694 33.577998, -7.553489 33.577936, -7.551433 33.577355, -7.549634 33.57685, -7.548952 33.576683, -7.546766 33.576215, -7.546553 33.576169)",,,18.74,813,78,,,,,,2025-06-29T19:13:41.636Z,2025-06-29T19:22:43.884Z,MO,Casablanca - الدار البيضاء,P3010 - Boulevard Oqba Bnou Nafii
1698552044,NONE,5,5,"LINESTRING(-7.664561 33.554491, -7.665542 33.554794)",,,0.0,97,0,147037030,ROAD_CLOSED_EVENT,,2025-06-22T07:00:10.552Z,2025-06-04T21:43:00.000Z,2025-06-27T02:40:13.755Z,2025-06-29T19:22:46.724Z,MO,Casablanca - الدار البيضاء,
250093370,NONE,4,5,"LINESTRING(-7.668603 33.540576, -7.668304 33.540461, -7.667798 33.540256, -7.667299 33.540049, -7.666724 33.5398)",,,5.55,195,103,,,,,,2025-06-29T19:22:42.923Z,2025-06-29T19:22:42.923Z,MO,Casablanca - الدار البيضاء,P3018 - Boulevard Laymoune
1698552046,NONE,5,5,"LINESTRING(-7.665542 33.554794, -7.664561 33.554491)",,,0.0,97,0,144264842,ROAD_CLOSED_EVENT,,2025-06-21T17:00:10.756Z,2025-06-04T21:43:00.000Z,2025-06-27T02:40:13.760Z,2025-06-29T19:22:46.724Z,MO,Casablanca - الدار البيضاء,
