ID,CENTER_LON,CENTER_LAT,AA_MINS,AA_MODE,TOTAL_POP
,"-7.66034508283421","33.57079432001825",10,driving-car,"672132"
,"-7.639810269557572","33.592175729544245",10,driving-car,"662641"
,"-7.629356590585282","33.58697842825015",10,driving-car,"843732"
,"-7.6348326","33.5563835",10,driving-car,"1062919"
,"-7.641767742891106","33.593091755555065",10,driving-car,"531838"
,"-7.636309676352714","33.58940190863443",10,driving-car,"634669"
,"-7.636386270159137","33.58750743875122",10,driving-car,"671277"
,"-7.641698172388715","33.58804629787377",10,driving-car,"568855"
,"-7.654606045825934","33.59569557841776",10,driving-car,"568559"
,"-7.663902845462377","33.56266093511215",10,driving-car,"705077"
,"-7.6796285467858105","33.58650964510817",10,driving-car,"400513"
,"-7.643781024053601","33.593126590496674",10,driving-car,"557074"
,"-7.641508896587837","33.56916599782343",10,driving-car,"822987"
,"-7.595412907809337","33.58450651904349",10,driving-car,"1944994"
,"-7.638682320351526","33.5911839640481",10,driving-car,"614595"
,"-7.643911895851066","33.588787024509465",10,driving-car,"603455"
,"-7.5964967","33.5939635",10,driving-car,"1185456"
,"-7.645133044226509","33.59226691575938",10,driving-car,"529335"
,"-7.5852534755672325","33.6021765037015",10,driving-car,"930189"
,"-7.631761579053048","33.58384533160039",10,driving-car,"814579"
,"-7.6416135540314905","33.58803823973353",10,driving-car,"566675"
,"-7.6344493866320775","33.58315873335945",10,driving-car,"727096"
,"-7.638728426246759","33.59126161072485",10,driving-car,"614421"
,"-7.644363705301992","33.557144862169395",10,driving-car,"981306"
,"-7.6376092487665215","33.574228739967936",10,driving-car,"844598"
,"-7.6687167","33.5717017",10,driving-car,"624107"
,"-7.605505261826535","33.591436963557626",10,driving-car,"1442621"
,"-7.5392578","33.6060067",10,driving-car,"1692385"
,"-7.638576421950961","33.597690065453435",10,driving-car,"639432"
,"-7.60635475900609","33.59284659771234",10,driving-car,"1285999"
,"-7.651872413447697","33.59583894251078",10,driving-car,"592564"
,"-7.612324102523052","33.594469981443474",10,driving-car,"895424"
,"-7.628101063183754","33.59057094219237",10,driving-car,"994827"
,"-7.632473632275859","33.5926772372291",10,driving-car,"760837"
,"-7.632160051543579","33.557704469140454",10,driving-car,"932722"
,"-7.606684208477688","33.49698475018519",10,driving-car,"349521"
,"-5.803206375514279","35.77780291416036",10,driving-car,"1049509"
,"-5.81138568137788","35.78014948606424",10,driving-car,"842435"
,"-5.813177361512701","35.779371600087885",10,driving-car,"969478"
,"-5.810479150513281","35.776893150312965",10,driving-car,"930900"
,"-5.7829150332838255","35.77469198261513",10,driving-car,"749214"
,"-5.7947160473080634","35.77192710853791",10,driving-car,"1008842"
,"-5.854881020344616","35.75041039414142",10,driving-car,"995266"
,"-5.7854502400448435","35.77478986504382",10,driving-car,"655951"
,"-4.994327855122847","34.04690119170787",10,driving-car,"919289"
,"-5.026661975091029","34.052960190584045",10,driving-car,"667760"
,"-4.985873376124389","34.03379981776242",10,driving-car,"1010151"
,"-4.9806672","34.0644104",10,driving-car,"543813"
,"-8.01978524481484","31.621171934423852",10,driving-car,"818730"
,"-8.016834142370119","31.639673969744468",10,driving-car,"679134"
