CENTER_LON_x,CENTER_LAT_x,attractiveness,huff_prob,expected_demand
-7.66034508283421,33.57079432001825,222818.25702084444,0.0010624126404829904,34384.44965326118
-7.639810269557572,33.592175729544245,264070.79084731877,0.019648844103698056,635924.9363987594
-7.629356590585282,33.58697842825015,296673.85986798524,0.13334612370276525,4315680.087193651
-7.641767742891106,33.593091755555065,215847.4590092973,0.009823091303035813,317919.39918473735
-7.636309676352714,33.58940190863443,253609.08498565803,0.0899299050882324,2910536.0535084773
-7.636386270159137,33.58750743875122,265318.16966402205,0.12351785409335614,3997593.094733008
-7.641698172388715,33.58804629787377,237951.8960152826,0.017170638268192023,555719.0535483477
-7.654606045825934,33.59569557841776,206504.4615941101,0.0020008414956890807,64756.22658386327
-7.663902845462377,33.56266093511215,222619.43798481894,0.0006632686911596705,21466.35690196239
-7.67962854678581,33.58650964510817,132121.4895973838,0.0003022552707218273,9782.339500255497
-7.643781024053601,33.593126590496674,220547.43416660983,0.007562221859935316,244747.4991369891
-7.641508896587837,33.56916599782343,264661.81385062885,0.002678556696719674,86690.1374967571
-7.595412907809337,33.58450651904349,635000.0078548158,0.003067891815375696,99290.77238715945
-7.638682320351526,33.5911839640481,252457.5129189314,0.027958257007044306,904854.8970714575
-7.643911895851066,33.588787024509465,240258.5366606287,0.010968461359693942,354988.72380196914
-7.5964967,33.5939635,394743.8948101821,0.001781500606474377,57657.36925223754
-7.645133044226509,33.59226691575938,212276.34703120062,0.006468290593455208,209342.9650387187
-7.585253475567232,33.6021765037015,299629.20150246803,0.0006871822581523827,22240.307445243758
-7.631761579053048,33.58384533160039,297210.25235804234,0.07814772232470729,2529211.6465871
-7.64161355403149,33.58803823973353,237432.08643476805,0.017460045385099876,565085.5690258835
-7.634449386632077,33.58315873335945,280112.1093566349,0.05111510760044932,1654314.6954743117
-7.638728426246759,33.59126161072485,252137.1641390197,0.027211516603754322,880687.0202761403
-7.6376092487665215,33.574228739967936,294828.56365316495,0.0061227835734439795,198160.80447159338
-7.6687167,33.5717017,227240.34613239105,0.0007671031604501691,24826.907167976857
-7.605505261826535,33.591436963557626,480136.40107432415,0.004042118341912843,130821.12290836482
-7.638576421950961,33.597690065453435,235456.19180712165,0.00747340296511032,241872.9203707011
-7.60635475900609,33.59284659771234,428473.55513945536,0.003657383951474913,118369.38826797402
-7.651872413447697,33.59583894251078,217828.9271628676,0.0026374175634017397,85358.69018104536
-7.612324102523052,33.594469981443474,315389.5054793773,0.0038424542762874186,124359.09605508705
-7.628101063183754,33.59057094219237,335274.09384816687,0.05795145700539413,1875569.6984452503
-7.632473632275859,33.5926772372291,273734.74626154243,0.04376950140842399,1416577.8532549327
-7.621872755166989,33.58377203133795,332058.0402960643,0.013969460774040625,452114.5573435947
-7.592085632316739,33.59589052655059,370408.18952804006,0.0012937899254745705,41872.858867862036
-7.636386270159137,33.58750743875122,265318.16966402205,0.12351785409335614,3997593.094733008
-7.634642734854448,33.582830941143456,266726.1575574483,0.04158641316226567,1345923.3024444946
-7.617257037307092,33.58714849764602,439636.97765033616,0.011451630234083538,370626.24090447574
-7.638163315036611,33.58358575191838,257760.5686123066,0.028326113605843924,916760.3904918813
-7.583912727442304,33.59228149497948,531733.6860719672,0.001448122918334132,46867.768397933345
-7.641767742891106,33.593091755555065,215847.4590092973,0.009823091303035813,317919.39918473735
-7.646893995933429,33.58511538429243,214640.17857826067,0.0057479129694710486,186028.30630879386
