CENTER_LON_x,CENTER_LAT_x,TOTAL_POP_x,traffic_score,num_competitors,num_antenna_3g4g,Villa,appartement,non-residentiel,traditionnel
-7.66034508283421,33.57079432001825,672132,61.7840377029579,5.0,8.0,318802.1037938846,20007.344343044904,29502.74912501678,4073.1523450434747
-7.639810269557572,33.592175729544245,662641,62.35455976161804,19.0,43.0,92521.73181611284,845227.0860470295,134177.87974041142,105196.09234636012
-7.629356590585282,33.58697842825015,843732,62.438865087749186,17.0,57.0,32376.800695095048,517449.19816872093,99426.71500760353,142590.0986622052
-7.641767742891106,33.593091755555065,531838,62.5198311857286,19.0,42.0,131173.5749839372,697675.8701419331,112565.91195501795,71594.06841413832
-7.636309676352714,33.58940190863443,634669,63.23571654265715,17.0,43.0,22150.152868336267,846967.9273956664,148836.51591891778,134428.51537173093
-7.636386270159137,33.58750743875122,671277,63.99291611088921,21.0,46.0,31569.499427897634,847084.3325192882,162745.97217202306,132370.3679120456
-7.641698172388715,33.58804629787377,568855,63.69056074840521,14.0,43.0,137685.8306068518,799610.1412435287,158090.6028159674,131270.88346255457
-7.654606045825934,33.59569557841776,568559,64.28767892867813,5.0,23.0,492094.404235188,79352.4626790588,40347.514267870465,13741.289569428143
-7.663902845462377,33.56266093511215,705077,58.07065716739402,8.0,4.0,11889.03876409918,111630.24276158396,7497.486469489814,58695.228326605196
-7.67962854678581,33.58650964510817,400513,62.69588604042275,0.0,30.0,192967.43007892865,865.3034790142153,12759.544960624331,1037.678553077345
-7.643781024053601,33.593126590496674,557074,62.91350131374782,16.0,37.0,197600.437527008,599002.2948393237,118223.61802420506,54108.658146957874
-7.641508896587837,33.56916599782343,822987,62.40856084064279,16.0,27.0,6826.099930694255,268180.75776551594,51983.96376393261,3486.1828894581304
-7.595412907809337,33.58450651904349,1944994,60.231989200478665,13.0,90.0,39431.59766159332,458484.7449421378,329771.51645949547,250090.64953503097
-7.638682320351526,33.5911839640481,614595,62.5552370220402,16.0,45.0,66469.60651678231,891504.7678197222,141053.9274455954,129338.05167622918
-7.643911895851066,33.588787024509465,603455,64.2473900187624,12.0,42.0,206237.75961395688,643032.5176432343,141108.15383010625,90394.9183515069
-7.5964967,33.5939635,1185456,61.488311646121865,16.0,103.0,5837.120977505991,531835.7652248567,291205.74382012984,16583.078062104185
-7.645133044226509,33.59226691575938,529335,63.81166470754545,13.0,37.0,245504.61355140648,560612.7780543001,106732.89491255466,49254.04534050498
-7.585253475567232,33.6021765037015,930189,61.623572393881005,4.0,70.0,1251.401560585204,281233.75320217217,137658.12960332658,14085.395525626594
-7.631761579053048,33.58384533160039,814579,61.41805475897196,21.0,51.0,33601.73966342006,627606.7583258846,116743.49501385377,180172.80107862083
-7.64161355403149,33.58803823973353,566675,63.640290431664965,14.0,43.0,133761.91183779045,804741.3157836162,159671.7166579245,131773.30619528695
-7.634449386632077,33.58315873335945,727096,61.98623400826428,22.0,46.0,37809.79424552922,763333.2063820342,144220.5559254151,183538.69403284538
-7.638728426246759,33.59126161072485,614421,62.52767133488462,16.0,45.0,67469.78750584114,888043.8973524264,140983.0122680237,127353.34807215801
-7.6376092487665215,33.574228739967936,844598,60.34579358811873,19.0,37.0,33678.279262837175,469798.1860054627,107551.3947259404,151211.85656918611
-7.6687167,33.5717017,624107,54.59570543982686,9.0,16.0,342927.8081458556,101664.56651610658,47560.83270641667,206120.63453641714
-7.605505261826535,33.591436963557626,1442621,61.275994748675416,16.0,100.0,42910.50842289373,613634.6952907653,337024.59243516903,19829.63340190196
-7.638576421950961,33.597690065453435,639432,60.964661238931505,18.0,35.0,33008.66442994339,623383.5355354855,99371.39263874589,37312.34651852079
-7.60635475900609,33.59284659771234,1285999,60.48539869753228,15.0,98.0,12462.582432823398,564390.713337511,329580.5805240554,24070.407217997355
-7.651872413447697,33.59583894251078,592564,62.98247666299673,7.0,23.0,439659.69438863994,187597.40371144662,44092.23795941816,25411.014975138576
-7.612324102523052,33.594469981443474,895424,55.45734292303994,13.0,74.0,429.76809776782704,522015.0152607059,244870.02784571238,174930.89308706418
-7.628101063183754,33.59057094219237,994827,60.223076887792935,15.0,58.0,10627.036494117689,494854.5040502703,118948.1661651731,68289.70538296968
-7.632473632275859,33.5926772372291,760837,60.72256741527755,17.0,53.0,2411.960362915639,641510.2028070112,115510.61414776384,75306.22577562803
-7.621872755166989,33.58377203133795,998161,60.54623982055951,19.0,69.0,44439.32038375509,428446.9943933371,135470.2390897357,25091.167794815377
-7.592085632316739,33.59589052655059,1126746,61.49176759772877,11.0,100.0,3962.740371485024,435517.83210941165,272827.08755853795,8847.341435268525
-7.636386270159137,33.58750743875122,671277,63.99291611088921,21.0,46.0,31569.499427897634,847084.3325192882,162745.97217202306,132370.3679120456
-7.634642734854448,33.582830941143456,684297,62.10729776097233,24.0,46.0,38976.59576193944,752991.8937574023,144442.34583667846,183541.2407518991
-7.617257037307092,33.58714849764602,1323522,59.92745715798202,13.0,92.0,60704.12367139526,563862.5685246917,170987.33091290877,27674.127267054457
-7.638163315036611,33.58358575191838,629259,64.08275677503042,23.0,41.0,48881.29502053095,873684.4272942316,185062.71428431966,165168.33830901232
-7.583912727442304,33.59228149497948,1628163,59.75976921527052,8.0,73.0,7702.359176029164,479332.29702773574,333630.8742707038,122763.32120039123
-7.641767742891106,33.593091755555065,531838,62.5198311857286,19.0,42.0,131173.5749839372,697675.8701419331,112565.91195501795,71594.06841413832
-7.646893995933429,33.58511538429243,520675,63.96595989061903,7.0,35.0,330260.10430955817,529132.2374030094,151173.1809338154,63847.21611429444
